gene,ev1,weight,rank
ACKR2,(0.017259981435659363+0j),0.017259981435659363,19236.0
ATP8B3,(0.017244860782379724+0j),0.017244860782379724,19235.0
CKAP5,(0.017183563660913597+0j),0.017183563660913597,19234.0
FAM83D,(0.01717167934754951+0j),0.01717167934754951,19233.0
INSL6,(0.017074108459578553+0j),0.017074108459578553,19232.0
TRAIP,(0.017061357490894102+0j),0.017061357490894102,19231.0
ERCC6L,(0.017044036611967014+0j),0.017044036611967014,19230.0
H1-5,(0.017033133141801948+0j),0.017033133141801948,19229.0
SAPCD2,(0.01699611477569388+0j),0.01699611477569388,19228.0
BRD8,(0.016933926019664407+0j),0.016933926019664407,19227.0
CENPF,(0.016877491014341404+0j),0.016877491014341404,19226.0
PARPBP,(0.016876240462424766+0j),0.016876240462424766,19225.0
NCAPD2,(0.01682865796824656+0j),0.01682865796824656,19224.0
GDA,(0.016824259228757275+0j),0.016824259228757275,19223.0
OIP5,(0.016658361927374073+0j),0.016658361927374073,19222.0
TMPRSS5,(0.01664652672960944+0j),0.01664652672960944,19221.0
PMCH,(0.016606065973569055+0j),0.016606065973569055,19220.0
MYADML2,(0.01650768641937344+0j),0.01650768641937344,19219.0
C18orf54,(0.01649210070460534+0j),0.01649210070460534,19218.0
SDC4,(0.01644926245211082+0j),0.01644926245211082,19217.0
NECTIN4,(0.01642160942502941+0j),0.01642160942502941,19216.0
KIF7,(0.01640791387586012+0j),0.01640791387586012,19215.0
H2BC12,(0.01636395778705538+0j),0.01636395778705538,19214.0
ARHGEF39,(0.01635649699067257+0j),0.01635649699067257,19213.0
POLQ,(0.016338228798585392+0j),0.016338228798585392,19212.0
RNF26,(0.016193761495690615+0j),0.016193761495690615,19211.0
CLGN,(0.016155098749342033+0j),0.016155098749342033,19210.0
PADI4,(0.016096383140923765+0j),0.016096383140923765,19209.0
NCAPG2,(0.015987060242689487+0j),0.015987060242689487,19208.0
H2BC7,(0.015986417060301402+0j),0.015986417060301402,19207.0
SMC4,(0.015964053608795856+0j),0.015964053608795856,19206.0
C21orf58,(0.015948363349274915+0j),0.015948363349274915,19205.0
CATSPER3,(0.015908709244213597+0j),0.015908709244213597,19204.0
UBE2S,(0.015894103290237844+0j),0.015894103290237844,19203.0
TICRR,(0.015826882689611035+0j),0.015826882689611035,19202.0
REXO5,(0.015801088596257677+0j),0.015801088596257677,19201.0
GNAT3,(0.015771062387412684+0j),0.015771062387412684,19200.0
STEAP2,(0.015751355711996925+0j),0.015751355711996925,19199.0
ALOX15,(0.015718458864592704+0j),0.015718458864592704,19198.0
RDM1,(0.015687071092837693+0j),0.015687071092837693,19197.0
G2E3,(0.015654919742547065+0j),0.015654919742547065,19196.0
PNCK,(0.015592285456646187+0j),0.015592285456646187,19195.0
OR2B6,(0.015540495229337961+0j),0.015540495229337961,19194.0
FXYD6,(0.015531240717475662+0j),0.015531240717475662,19193.0
TAS2R50,(0.015466141149112425+0j),0.015466141149112425,19192.0
POC1A,(0.015448042447740333+0j),0.015448042447740333,19191.0
ZNF850,(0.015438617473101468+0j),0.015438617473101468,19190.0
TEX49,(0.01535962636889815+0j),0.01535962636889815,19189.0
IRF6,(0.015358762812269921+0j),0.015358762812269921,19188.0
ARVCF,(0.015351042926196812+0j),0.015351042926196812,19187.0
RERGL,(0.015348152156569884+0j),0.015348152156569884,19186.0
TRIM59,(0.015327819826812781+0j),0.015327819826812781,19185.0
CENPW,(0.015322448332877537+0j),0.015322448332877537,19184.0
PTPN14,(0.015301456139974771+0j),0.015301456139974771,19183.0
GGH,(0.015296036218590863+0j),0.015296036218590863,19182.0
OR56B1,(0.015252260045172836+0j),0.015252260045172836,19181.0
LRRC49,(0.015201589105308203+0j),0.015201589105308203,19180.0
C2orf78,(0.015197894616708629+0j),0.015197894616708629,19179.0
MPP4,(0.015108796949704698+0j),0.015108796949704698,19178.0
H3C7,(0.015094411493586219+0j),0.015094411493586219,19177.0
CYP4F2,(0.015065845186806306+0j),0.015065845186806306,19176.0
DSG1,(0.015063041136563178+0j),0.015063041136563178,19175.0
TUBB,(0.015032080479584238+0j),0.015032080479584238,19174.0
H2AX,(0.015010046488449011+0j),0.015010046488449011,19173.0
HASPIN,(0.015005791262236967+0j),0.015005791262236967,19172.0
MAD2L1,(0.015003804359337285+0j),0.015003804359337285,19171.0
FANCD2,(0.014971935869879457+0j),0.014971935869879457,19170.0
TRIP13,(0.014890125984316495+0j),0.014890125984316495,19169.0
H2BC11,(0.014859993458759057+0j),0.014859993458759057,19168.0
CCDC163,(0.014858212719029778+0j),0.014858212719029778,19167.0
COL4A2,(0.014853950230454034+0j),0.014853950230454034,19166.0
ANG,(0.014853804544594985+0j),0.014853804544594985,19165.0
DIXDC1,(0.014797748000241934+0j),0.014797748000241934,19164.0
HROB,(0.014784213099943825+0j),0.014784213099943825,19163.0
DNAH6,(0.014782717291567658+0j),0.014782717291567658,19162.0
SRGAP2C,(0.014774318087906963+0j),0.014774318087906963,19161.0
HSPA1L,(0.014769540445146178+0j),0.014769540445146178,19160.0
HYLS1,(0.014769010955789015+0j),0.014769010955789015,19159.0
RRM2,(0.014740654798154857+0j),0.014740654798154857,19158.0
POTEI,(0.014666714998996291+0j),0.014666714998996291,19157.0
DBF4B,(0.014666285384110921+0j),0.014666285384110921,19156.0
PAPPA,(0.014643064687727834+0j),0.014643064687727834,19155.0
HTRA4,(0.014642604571895338+0j),0.014642604571895338,19154.0
FRMPD2,(0.014589694922474632+0j),0.014589694922474632,19153.0
PHYHIP,(0.014585230752529167+0j),0.014585230752529167,19152.0
CDK15,(0.014527160017016488+0j),0.014527160017016488,19151.0
ARHGAP29,(0.014499936018494405+0j),0.014499936018494405,19150.0
ALDH8A1,(0.014474041339112356+0j),0.014474041339112356,19149.0
PRCD,(0.014419985392387915+0j),0.014419985392387915,19148.0
CDKN2C,(0.014404134658339554+0j),0.014404134658339554,19147.0
DNMT3B,(0.01440276541921508+0j),0.01440276541921508,19146.0
SERPINE1,(0.014392026158392253+0j),0.014392026158392253,19145.0
TMEM45A,(0.014373268309193122+0j),0.014373268309193122,19144.0
CDCA5,(0.01436785721895955+0j),0.01436785721895955,19143.0
PTTG1,(0.014324059136697419+0j),0.014324059136697419,19142.0
ADAMTSL1,(0.014290860802760829+0j),0.014290860802760829,19141.0
PRELID2,(0.014286469057720073+0j),0.014286469057720073,19140.0
KCNJ15,(0.014270983606160702+0j),0.014270983606160702,19139.0
DSCAML1,(0.014248839853730546+0j),0.014248839853730546,19138.0
RCN3,(0.014248474526503841+0j),0.014248474526503841,19137.0
HMGB3,(0.014205882208411735+0j),0.014205882208411735,19136.0
MORN3,(0.014166158352300404+0j),0.014166158352300404,19135.0
NLRP9,(0.01416417686816553+0j),0.01416417686816553,19134.0
LCE1F,(0.014112873403238187+0j),0.014112873403238187,19133.0
FRY,(0.014099666115606911+0j),0.014099666115606911,19132.0
KCNV2,(0.014084427652012154+0j),0.014084427652012154,19131.0
PDE8B,(0.014065723553312542+0j),0.014065723553312542,19130.0
SH3PXD2B,(0.014043012270533322+0j),0.014043012270533322,19129.0
SLC52A1,(0.014036524019269074+0j),0.014036524019269074,19128.0
ZWINT,(0.013966879757263235+0j),0.013966879757263235,19127.0
CDC25B,(0.01395751059585567+0j),0.01395751059585567,19126.0
MLF1,(0.013928542511635398+0j),0.013928542511635398,19125.0
POLH,(0.013907818274620343+0j),0.013907818274620343,19124.0
ODAD3,(0.01386650207221714+0j),0.01386650207221714,19123.0
DNLZ,(0.013865193341287801+0j),0.013865193341287801,19122.0
CDKL2,(0.013850223446296626+0j),0.013850223446296626,19121.0
TAL2,(0.013844022736554268+0j),0.013844022736554268,19120.0
DLG3,(0.013809687997397619+0j),0.013809687997397619,19119.0
CSPG4,(0.013804102544971145+0j),0.013804102544971145,19118.0
C5orf34,(0.013803837204258675+0j),0.013803837204258675,19117.0
TUBB4B,(0.013801527939362743+0j),0.013801527939362743,19116.0
CDKN2D,(0.013799767620954195+0j),0.013799767620954195,19115.0
FANCD2OS,(0.013770443221707845+0j),0.013770443221707845,19114.0
SHTN1,(0.013722154937069093+0j),0.013722154937069093,19113.0
CASP14,(0.013679899653855122+0j),0.013679899653855122,19112.0
GRIA3,(0.013652614912000477+0j),0.013652614912000477,19111.0
ESCO2,(0.013647342218952023+0j),0.013647342218952023,19110.0
TRAM1L1,(0.013643012048406311+0j),0.013643012048406311,19109.0
FAM9C,(0.013640753102666657+0j),0.013640753102666657,19108.0
SRGAP2B,(0.013620157824210045+0j),0.013620157824210045,19107.0
MMRN2,(0.013592817587781926+0j),0.013592817587781926,19106.0
SNTB1,(0.013581965472600108+0j),0.013581965472600108,19105.0
MZT1,(0.013570924061189489+0j),0.013570924061189489,19104.0
CFAP20DC,(0.013539408756839557+0j),0.013539408756839557,19103.0
NPIPB13,(0.013520470434212225+0j),0.013520470434212225,19102.0
METTL4,(0.01349932500502378+0j),0.01349932500502378,19101.0
AXDND1,(0.013496875348758921+0j),0.013496875348758921,19100.0
ANGPTL4,(0.013487716382022808+0j),0.013487716382022808,19099.0
FBXO40,(0.013467603080224927+0j),0.013467603080224927,19098.0
CCDC15,(0.013447435120743041+0j),0.013447435120743041,19097.0
STMN1,(0.013408290751871145+0j),0.013408290751871145,19096.0
SCD5,(0.013388464393181233+0j),0.013388464393181233,19095.0
RLN1,(0.013355992872319852+0j),0.013355992872319852,19094.0
LRRC3,(0.013324566707356003+0j),0.013324566707356003,19093.0
H2AC12,(0.013290817063699943+0j),0.013290817063699943,19092.0
PRSS36,(0.013276621314929666+0j),0.013276621314929666,19091.0
CCDC175,(0.013260908263647321+0j),0.013260908263647321,19090.0
TNS1,(0.013248012379088183+0j),0.013248012379088183,19089.0
FABP6,(0.013239825323811691+0j),0.013239825323811691,19088.0
RAD51AP1,(0.013234857653415625+0j),0.013234857653415625,19087.0
SUV39H1,(0.01323065268297316+0j),0.01323065268297316,19086.0
NEURL1B,(0.013225759106755454+0j),0.013225759106755454,19085.0
H4C6,(0.013203308854228489+0j),0.013203308854228489,19084.0
SCG5,(0.0131737355181848+0j),0.0131737355181848,19083.0
TMEM88B,(0.013162885669409782+0j),0.013162885669409782,19082.0
DBF4,(0.013158712076453749+0j),0.013158712076453749,19081.0
LAMA2,(0.013158152278095322+0j),0.013158152278095322,19080.0
TUBA1B,(0.013111887553728791+0j),0.013111887553728791,19079.0
OGN,(0.013086386218319925+0j),0.013086386218319925,19078.0
NIBAN2,(0.013071753181449893+0j),0.013071753181449893,19077.0
CCSER1,(0.013059673693165103+0j),0.013059673693165103,19076.0
KCNA6,(0.013036849682088236+0j),0.013036849682088236,19075.0
NKAPL,(0.01302996670425179+0j),0.01302996670425179,19074.0
LCN10,(0.01301391031427763+0j),0.01301391031427763,19073.0
TUBB4A,(0.013003070351802171+0j),0.013003070351802171,19072.0
EFHB,(0.013002996004273331+0j),0.013002996004273331,19071.0
GXYLT2,(0.012997792026100444+0j),0.012997792026100444,19070.0
SMC2,(0.012991980807764956+0j),0.012991980807764956,19069.0
LRRC37A,(0.012986043572467305+0j),0.012986043572467305,19068.0
COL5A2,(0.012978276647461458+0j),0.012978276647461458,19067.0
PCLAF,(0.012970184233009276+0j),0.012970184233009276,19066.0
H1-0,(0.012961074790404857+0j),0.012961074790404857,19065.0
SMTN,(0.01293505064618449+0j),0.01293505064618449,19064.0
HES2,(0.012932489882053798+0j),0.012932489882053798,19063.0
EGF,(0.012916725635196585+0j),0.012916725635196585,19062.0
TESMIN,(0.012915247270112956+0j),0.012915247270112956,19061.0
CCDC18,(0.012914287373210447+0j),0.012914287373210447,19060.0
CCSAP,(0.012904372394916657+0j),0.012904372394916657,19059.0
LIN9,(0.012901791982729944+0j),0.012901791982729944,19058.0
SERPINE2,(0.012886907671600214+0j),0.012886907671600214,19057.0
NDC1,(0.01286900590096322+0j),0.01286900590096322,19056.0
REEP4,(0.012864287647916054+0j),0.012864287647916054,19055.0
PPT2,(0.012855807140249238+0j),0.012855807140249238,19054.0
GPRC5B,(0.012834544464781222+0j),0.012834544464781222,19053.0
TMEM45B,(0.012834432758602717+0j),0.012834432758602717,19052.0
FSTL5,(0.01283171498892106+0j),0.01283171498892106,19051.0
GPSM2,(0.012829609587291351+0j),0.012829609587291351,19050.0
NLRP14,(0.01282942806708194+0j),0.01282942806708194,19049.0
C16orf46,(0.012823774046924868+0j),0.012823774046924868,19048.0
FAM166A,(0.012791936032312129+0j),0.012791936032312129,19047.0
CENPL,(0.012765830855180375+0j),0.012765830855180375,19046.0
IL4,(0.01270711274679045+0j),0.01270711274679045,19045.0
NR4A3,(0.012696699450225873+0j),0.012696699450225873,19044.0
LMO3,(0.012690820323488592+0j),0.012690820323488592,19043.0
THBS1,(0.012686230616556776+0j),0.012686230616556776,19042.0
DNM3,(0.012681129177647684+0j),0.012681129177647684,19041.0
EGLN3,(0.01267863917579012+0j),0.01267863917579012,19040.0
RAD21,(0.012670873195183093+0j),0.012670873195183093,19039.0
C1QTNF3,(0.012670575118989193+0j),0.012670575118989193,19038.0
FGF2,(0.012660767530744868+0j),0.012660767530744868,19037.0
ZNF165,(0.012647440890481351+0j),0.012647440890481351,19036.0
CRHR2,(0.012644589141971455+0j),0.012644589141971455,19035.0
MITF,(0.012607649047821563+0j),0.012607649047821563,19034.0
PLA2G4B,(0.01260427297414861+0j),0.01260427297414861,19033.0
REEP1,(0.012569439908344228+0j),0.012569439908344228,19032.0
TEX15,(0.012552643673793428+0j),0.012552643673793428,19031.0
P2RY4,(0.012531738019463855+0j),0.012531738019463855,19030.0
TMPO,(0.012529975039475802+0j),0.012529975039475802,19029.0
CBY2,(0.012481669610144385+0j),0.012481669610144385,19028.0
MIS18A,(0.012469012502458358+0j),0.012469012502458358,19027.0
ANP32E,(0.012465598660300548+0j),0.012465598660300548,19026.0
UGT2B7,(0.012457655951841739+0j),0.012457655951841739,19025.0
PAIP2B,(0.012449901675626006+0j),0.012449901675626006,19024.0
H2BC9,(0.012439670240166094+0j),0.012439670240166094,19023.0
POLN,(0.01243255169803054+0j),0.01243255169803054,19022.0
CYP19A1,(0.012426300169136664+0j),0.012426300169136664,19021.0
CENPJ,(0.012415889795525886+0j),0.012415889795525886,19020.0
PIK3C2G,(0.012408220704355457+0j),0.012408220704355457,19019.0
ZNF157,(0.012407174525498785+0j),0.012407174525498785,19018.0
GEN1,(0.012400370364417726+0j),0.012400370364417726,19017.0
TOGARAM2,(0.012358077340588972+0j),0.012358077340588972,19016.0
NODAL,(0.012341698140492682+0j),0.012341698140492682,19015.0
SLC47A2,(0.012341066364204657+0j),0.012341066364204657,19014.0
CDC27,(0.012337761911487027+0j),0.012337761911487027,19013.0
FBXO48,(0.012321711447634952+0j),0.012321711447634952,19012.0
CEP152,(0.012306324910987775+0j),0.012306324910987775,19011.0
LCORL,(0.012302613436602763+0j),0.012302613436602763,19010.0
CADPS2,(0.012280951432876462+0j),0.012280951432876462,19009.0
DRD4,(0.012263085444753633+0j),0.012263085444753633,19008.0
HNF1B,(0.012261005812217203+0j),0.012261005812217203,19007.0
KCNN2,(0.012254159603670671+0j),0.012254159603670671,19006.0
CENPK,(0.012253487515588695+0j),0.012253487515588695,19005.0
APLN,(0.012248234056902245+0j),0.012248234056902245,19004.0
WDR83OS,(0.0122442446957375+0j),0.0122442446957375,19003.0
ASRGL1,(0.012237284242430691+0j),0.012237284242430691,19002.0
PHGDH,(0.012216433459637358+0j),0.012216433459637358,19001.0
PLET1,(0.012203149282998024+0j),0.012203149282998024,19000.0
FNDC9,(0.01218827004946769+0j),0.01218827004946769,18999.0
RHNO1,(0.012186921719875855+0j),0.012186921719875855,18998.0
ELAVL2,(0.012181877853368713+0j),0.012181877853368713,18997.0
TMEM269,(0.012173819834169928+0j),0.012173819834169928,18996.0
C4A,(0.012161309495344377+0j),0.012161309495344377,18995.0
TMEM225B,(0.01215759485051212+0j),0.01215759485051212,18994.0
EGFR,(0.012153375464435475+0j),0.012153375464435475,18993.0
REEP6,(0.012151858095767193+0j),0.012151858095767193,18992.0
SLC13A3,(0.012142617130362141+0j),0.012142617130362141,18991.0
CENPN,(0.012142434698848901+0j),0.012142434698848901,18990.0
FPGT-TNNI3K,(0.012124534608292867+0j),0.012124534608292867,18989.0
MYO1B,(0.01212322736475146+0j),0.01212322736475146,18988.0
LRRTM2,(0.0121216866653323+0j),0.0121216866653323,18987.0
PROCR,(0.012107966810264029+0j),0.012107966810264029,18986.0
DLL4,(0.012093107703765418+0j),0.012093107703765418,18985.0
CALHM3,(0.012091771282764178+0j),0.012091771282764178,18984.0
CCDC121,(0.012091375697267861+0j),0.012091375697267861,18983.0
RFX2,(0.012080493590480643+0j),0.012080493590480643,18982.0
TUBD1,(0.01207511781159857+0j),0.01207511781159857,18981.0
ARHGAP33,(0.012072812375033284+0j),0.012072812375033284,18980.0
RECK,(0.012062638193481457+0j),0.012062638193481457,18979.0
FANCI,(0.012052628916201397+0j),0.012052628916201397,18978.0
CXADR,(0.012052013212500717+0j),0.012052013212500717,18977.0
PATE4,(0.012049963120470427+0j),0.012049963120470427,18976.0
SASS6,(0.012009925142439712+0j),0.012009925142439712,18975.0
MICALL2,(0.012003948029740004+0j),0.012003948029740004,18974.0
BUB3,(0.011998342899092138+0j),0.011998342899092138,18973.0
RPL39L,(0.011995281089244622+0j),0.011995281089244622,18972.0
TLCD4,(0.011985584237248327+0j),0.011985584237248327,18971.0
SKA2,(0.011982428987602522+0j),0.011982428987602522,18970.0
